

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 3.70000E+06 eV

  ONLY INNER PHASE SHIFTS ARE TABULATED

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -3.01044046E-06      0.00000000E+00
       1     -4.44661379E-10     -2.35918554E-06
       2     -6.55719278E-14     -3.48454805E-10
       3      0.00000000E+00     -5.09228801E-14
       4      0.00000000E+00      0.00000000E+00
       5      0.00000000E+00      0.00000000E+00
       6      0.00000000E+00      0.00000000E+00
       7     -6.97573700E-16      0.00000000E+00
       8      0.00000000E+00      0.00000000E+00
       9      0.00000000E+00      0.00000000E+00
      10      0.00000000E+00      0.00000000E+00
      11      2.16247847E-14      6.97573700E-16


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
  1.500E-03 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  1.750E-03 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  2.000E-03 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  2.250E-03 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  2.500E-03 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  2.750E-03 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  3.000E-03 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  3.250E-03 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  3.500E-03 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  3.750E-03 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  4.000E-03 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  4.250E-03 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  4.500E-03 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  4.750E-03 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  5.000E-03 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  5.250E-03 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  5.500E-03 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  5.750E-03 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  6.000E-03 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  6.250E-03 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  6.500E-03 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  6.750E-03 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  7.000E-03 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  7.250E-03 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  7.500E-03 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  7.750E-03 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  8.000E-03 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  8.250E-03 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  8.500E-03 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  8.750E-03 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  9.000E-03 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  9.250E-03 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  9.500E-03 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  9.750E-03 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  1.000E-02 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  1.250E-02 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  1.500E-02 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  1.750E-02 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  2.000E-02 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  2.250E-02 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  2.500E-02 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  2.750E-02 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  3.000E-02 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  3.250E-02 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  3.500E-02 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  3.750E-02 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  4.000E-02 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  4.250E-02 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  4.500E-02 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  4.750E-02 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  5.000E-02 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  5.250E-02 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  5.500E-02 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  5.750E-02 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  6.000E-02 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  6.250E-02 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  6.500E-02 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  6.750E-02 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  7.000E-02 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  7.250E-02 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  7.500E-02 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  7.750E-02 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  8.000E-02 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  8.250E-02 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  8.500E-02 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  8.750E-02 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  9.000E-02 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  9.250E-02 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  9.500E-02 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  9.750E-02 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  1.000E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  1.250E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  1.500E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  1.750E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  2.000E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  2.250E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  2.500E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  2.750E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  3.000E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  3.250E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  3.500E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  3.750E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  4.000E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  4.250E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  4.500E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  4.750E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  5.000E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  5.250E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  5.500E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  5.750E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  6.000E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
  6.250E-01 1.00000E-45  0.000E+00 ( 0.000E+00, 0.000E+00) ( 0.000E+00, 0.000E+00)  1.00E+00
